# Groundwater resource supply curves for all basins - 25% extraction scenario
# Based on global hydrogeological maps and cost extraction model
# Source: Yonkofski et al. (in review) Cost and accessibility of global non-renewable groundwater resources
# Units: price in 1975USD; available in km3
basin.id,price,available,grade
24,0.66,0.264088726,grade13
24,0.88,0.083871202,grade14
24,1.1,0,grade15
24,1.32,0,grade16
24,1.54,0,grade17
24,1.76,0,grade18
24,1.98,0,grade19
24,2.2,0,grade20
24,4.4,0,grade21
24,6.6,0,grade22
24,8.8,0,grade23
24,20.9,0,grade24
25,0.002,37.067526893,grade1
25,0.022,22.127560563000003,grade2
25,0.044,2.700226911,grade3
25,0.066,2.7520524920000002,grade4
25,0.088,13.037354274,grade5
25,0.11,8.475245189,grade6
25,0.132,2.405644355,grade7
25,0.154,0,grade8
25,0.176,0,grade9
25,0.198,0,grade10
25,0.22,134.01505529300002,grade11
25,0.44,161.93556772600002,grade12
25,0.66,0,grade13
25,0.88,0,grade14
25,1.1,0,grade15
25,1.32,0,grade16
25,1.54,0,grade17
25,1.76,0,grade18
25,1.98,0,grade19
25,2.2,0,grade20
25,4.4,0,grade21
25,6.6,0,grade22
25,8.8,0,grade23
25,20.9,0,grade24
26,0.002,0.10353253300000001,grade1
26,0.022,157.973638644,grade2
26,0.044,141.43731174500002,grade3
26,0.066,75.39075236800001,grade4
26,0.088,38.330218182,grade5
26,0.11,33.080252988000005,grade6
26,0.132,8.167988582000001,grade7
26,0.154,15.897673070000002,grade8
26,0.176,0.38461718100000003,grade9
26,0.198,0.95421332700000006,grade10
26,0.22,11.83484606,grade11
26,0.44,20.015196515,grade12
26,0.66,0.440346383,grade13
26,0.88,0,grade14
26,1.1,0,grade15
26,1.32,0.790473308,grade16
26,1.54,0.249770856,grade17
26,1.76,0,grade18
26,1.98,0,grade19
26,2.2,0,grade20
26,4.4,0,grade21
26,6.6,0,grade22
26,8.8,0,grade23
26,20.9,0,grade24
27,0.002,83.9637646,grade1
27,0.022,256.747974,grade2
27,0.044,98.889702,grade3
27,0.066,37.587773000000006,grade4
27,0.088,5.69584032,grade5
27,0.11,1.48942028932,grade6
27,0.132,5.491608,grade7
27,0.154,2.7628426700000004,grade8
27,0.176,4.0228056,grade9
27,0.198,0,grade10
27,0.22,1.3373810000000002,grade11
27,0.44,0,grade12
27,0.66,0,grade13
27,0.88,0,grade14
27,1.1,0,grade15
27,1.32,0,grade16
27,1.54,0,grade17
27,1.76,0,grade18
27,1.98,0,grade19
27,2.2,0,grade20
27,4.4,0,grade21
27,6.6,0,grade22
27,8.8,0,grade23
27,20.9,0,grade24
28,0.002,0,grade1
28,0.022,73.161985372,grade2
28,0.044,135.385762644,grade3
28,0.066,59.925687797,grade4
28,0.088,13.332237692000001,grade5
28,0.11,12.026002137,grade6
28,0.132,5.526053934,grade7
28,0.154,9.569987742,grade8
28,0.176,1.5392263430000002,grade9
28,0.198,0,grade10
28,0.22,0,grade11
28,0.44,0,grade12
28,0.66,0,grade13
28,0.88,0,grade14
28,1.1,0,grade15
28,1.32,0,grade16
28,1.54,0,grade17
28,1.76,0,grade18
28,1.98,0,grade19
28,2.2,0,grade20
28,4.4,0,grade21
28,6.6,0,grade22
28,8.8,0,grade23
28,20.9,0,grade24
29,0.002,28.615476369000003,grade1
29,0.022,506.03562246,grade2
29,0.044,20.833926307000002,grade3
29,0.066,2.613369933,grade4
29,0.088,1.33213801,grade5
29,0.11,0.384657109,grade6
29,0.132,0,grade7
29,0.154,0,grade8
29,0.176,0,grade9
29,0.198,0,grade10
29,0.22,0,grade11
29,0.44,0,grade12
29,0.66,0,grade13
29,0.88,0,grade14
29,1.1,0,grade15
29,1.32,0,grade16
29,1.54,0,grade17
29,1.76,0,grade18
29,1.98,0,grade19
29,2.2,0,grade20
29,4.4,0,grade21
29,6.6,0,grade22
29,8.8,0,grade23
29,20.9,0,grade24
30,0.002,62.076922307000004,grade1
30,0.022,771.955618668,grade2
30,0.044,22.19581107,grade3
